Frame,Pitch (deg),Pose
245,-155.39,Looking Up
246,-155.52,Looking Up
247,-155.95,Looking Up
248,-155.77,Looking Up
249,-155.28,Looking Up
250,-155.82,Looking Up
251,-154.96,Looking Up
252,-156.26,Looking Up
253,-155.56,Looking Up
254,-155.61,Looking Up
255,-156.06,Looking Up
256,-155.96,Looking Up
257,-156.05,Looking Up
258,-155.5,Looking Up
259,-156.13,Looking Up
260,-155.23,Looking Up
261,-156.14,Looking Up
262,-155.81,Looking Up
263,-155.58,Looking Up
264,-156.13,Looking Up
265,-156.01,Looking Up
266,-155.22,Looking Up
267,-155.65,Looking Up
268,-155.2,Looking Up
269,-156.34,Looking Up
270,-155.78,Looking Up
271,-154.54,Looking Up
272,-155.86,Looking Up
273,-155.66,Looking Up
274,-155.68,Looking Up
275,-155.61,Looking Up
276,-154.94,Looking Up
277,-155.31,Looking Up
278,-154.93,Looking Up
279,-155.52,Looking Up
280,-155.46,Looking Up
281,-156.32,Looking Up
282,-156.2,Looking Up
283,-157.14,Looking Up
284,-159.46,Looking Up
285,-159.55,Looking Up
286,-160.6,Looking Up
287,-162.01,Looking Up
288,-164.6,Looking Up
289,-165.89,Looking Up
290,-166.3,Looking Up
291,-167.87,Looking Up
292,-168.13,Looking Up
293,-168.82,Looking Up
294,-169.75,Looking Up
295,-170.3,Looking Up
296,-170.05,Looking Up
297,-170.92,Looking Up
298,-170.8,Looking Up
299,-171.13,Looking Up
300,-170.71,Looking Up
301,-171.53,Looking Up
302,-172.85,Looking Up
303,-172.86,Looking Up
304,-172.91,Looking Up
305,-173.73,Looking Up
306,-174.14,Looking Up
307,-174.16,Looking Up
308,-173.37,Looking Up
309,-173.52,Looking Up
310,-173.73,Looking Up
311,-173.63,Looking Up
312,-173.68,Looking Up
313,-173.84,Looking Up
314,-174.12,Looking Up
315,-173.84,Looking Up
316,-174.29,Looking Up
317,-173.99,Looking Up
318,-174.45,Looking Up
319,-174.29,Looking Up
320,-174.55,Looking Up
321,-174.65,Looking Up
322,-175.06,Looking Up
323,-175.13,Looking Up
324,-174.89,Looking Up
325,-175.52,Looking Up
326,-175.44,Looking Up
327,-175.55,Looking Up
328,-175.6,Looking Up
329,-175.71,Looking Up
330,-175.82,Looking Up
331,-175.69,Looking Up
332,-176.22,Looking Up
333,-176.53,Looking Up
334,-176.48,Looking Up
335,-177.28,Looking Up
336,-177.65,Looking Up
337,-178.48,Looking Up
338,-178.39,Looking Up
339,-178.41,Looking Up
340,-178.81,Looking Up
341,-178.69,Looking Up
342,-178.04,Looking Up
343,-178.1,Looking Up
344,-178.67,Looking Up
345,-178.21,Looking Up
346,-178.67,Looking Up
347,-178.54,Looking Up
348,-178.81,Looking Up
349,-178.51,Looking Up
350,-178.87,Looking Up
351,-178.66,Looking Up
352,-178.91,Looking Up
353,-179.79,Looking Up
354,-180.0,Looking Up
355,-179.73,Looking Up
356,178.54,Looking Down
357,178.38,Looking Down
358,178.3,Looking Down
359,178.13,Looking Down
360,177.63,Looking Down
361,177.6,Looking Down
362,177.72,Looking Down
363,178.15,Looking Down
364,178.77,Looking Down
365,179.12,Looking Down
366,-179.84,Looking Up
367,-179.99,Looking Up
368,179.79,Looking Down
369,179.66,Looking Down
370,179.3,Looking Down
371,178.59,Looking Down
372,178.32,Looking Down
373,178.0,Looking Down
374,176.97,Looking Down
375,176.52,Looking Down
376,176.3,Looking Down
377,176.47,Looking Down
378,175.39,Looking Down
379,175.84,Looking Down
380,174.8,Looking Down
381,175.59,Looking Down
382,175.57,Looking Down
383,174.87,Looking Down
384,174.65,Looking Down
385,173.45,Looking Down
386,173.37,Looking Down
387,173.07,Looking Down
388,173.03,Looking Down
389,173.4,Looking Down
390,172.46,Looking Down
391,171.19,Looking Down
392,171.39,Looking Down
393,172.31,Looking Down
394,171.53,Looking Down
395,171.24,Looking Down
396,172.14,Looking Down
397,171.25,Looking Down
398,170.96,Looking Down
399,171.0,Looking Down
400,170.44,Looking Down
401,170.88,Looking Down
402,169.73,Looking Down
403,170.57,Looking Down
404,170.27,Looking Down
405,170.78,Looking Down
406,170.25,Looking Down
407,170.46,Looking Down
408,170.55,Looking Down
409,169.69,Looking Down
410,170.88,Looking Down
411,170.22,Looking Down
412,169.14,Looking Down
413,169.37,Looking Down
414,170.27,Looking Down
415,169.76,Looking Down
416,169.35,Looking Down
417,169.43,Looking Down
418,168.99,Looking Down
419,169.26,Looking Down
420,169.16,Looking Down
421,168.81,Looking Down
422,169.89,Looking Down
423,169.5,Looking Down
424,169.41,Looking Down
425,168.6,Looking Down
426,170.03,Looking Down
427,169.79,Looking Down
428,168.69,Looking Down
429,169.21,Looking Down
430,169.61,Looking Down
431,169.11,Looking Down
432,169.14,Looking Down
433,169.57,Looking Down
434,170.07,Looking Down
435,169.38,Looking Down
436,169.38,Looking Down
437,169.73,Looking Down
438,170.68,Looking Down
439,170.98,Looking Down
440,170.58,Looking Down
441,171.21,Looking Down
442,171.17,Looking Down
443,171.58,Looking Down
444,171.41,Looking Down
445,172.17,Looking Down
446,171.67,Looking Down
447,172.11,Looking Down
448,171.44,Looking Down
449,171.11,Looking Down
450,171.83,Looking Down
451,171.97,Looking Down
452,171.7,Looking Down
453,171.9,Looking Down
454,172.52,Looking Down
455,173.1,Looking Down
456,173.18,Looking Down
457,172.98,Looking Down
458,173.36,Looking Down
459,173.11,Looking Down
460,174.1,Looking Down
461,174.09,Looking Down
462,174.06,Looking Down
